"time";"level";"processed_jobs";"open_jobs";"type";"message";"data"
38814.179708;2;0;0;"job_completed";"Remove completed job and free resources: <Job w0!64; number:64 queue:64 sub:38718 reqtime:2921 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 3847188318866.021, 'com': 2985204.680481, 'ret': 0} start:38718.0 fin:38814.179708 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>";"{'job': {'id': 'w0!64', 'workload_name': 'w0', 'number': '64', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 64, 'submit_time': 38718, 'requested_time': 2921, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 3847188318866.021, 'com': 2985204.680481, 'ret': 0}, 'profile_name': 'profile_64', 'start_time': 38718.0, 'finish_time': 38814.179708, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
38993.0;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!69; number:69 queue:69 sub:38993 reqtime:41457 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 76929869149052.73, 'com': 5486862.350548, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=1)";"{'job': {'id': 'w0!69', 'workload_name': 'w0', 'number': '69', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 69, 'submit_time': 38993, 'requested_time': 41457, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 76929869149052.73, 'com': 5486862.350548, 'ret': 0}, 'profile_name': 'profile_69', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 1}"
38993.0;2;0;0;"job_scheduled";"Scheduled job (<Job w0!69; number:69 queue:69 sub:38993 reqtime:41457 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 76929869149052.73, 'com': 5486862.350548, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>)";"{'job': {'id': 'w0!69', 'workload_name': 'w0', 'number': '69', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 69, 'submit_time': 38993, 'requested_time': 41457, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 76929869149052.73, 'com': 5486862.350548, 'ret': 0}, 'profile_name': 'profile_69', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}}"
39061.20968;2;0;0;"job_completion_received";"Job has completed its execution (<Job w0!55; number:55 queue:55 sub:37894 reqtime:22948 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 46688387181705.87, 'com': 4808981.008355, 'ret': 0} start:37894.0 fin:39061.20968 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>)";"{'job': {'id': 'w0!55', 'workload_name': 'w0', 'number': '55', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 55, 'submit_time': 37894, 'requested_time': 22948, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 46688387181705.87, 'com': 4808981.008355, 'ret': 0}, 'profile_name': 'profile_55', 'start_time': 37894.0, 'finish_time': 39061.20968, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
39061.20968;2;0;0;"job_completed";"Remove completed job and free resources: <Job w0!55; number:55 queue:55 sub:37894 reqtime:22948 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 46688387181705.87, 'com': 4808981.008355, 'ret': 0} start:37894.0 fin:39061.20968 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>";"{'job': {'id': 'w0!55', 'workload_name': 'w0', 'number': '55', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 55, 'submit_time': 37894, 'requested_time': 22948, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 46688387181705.87, 'com': 4808981.008355, 'ret': 0}, 'profile_name': 'profile_55', 'start_time': 37894.0, 'finish_time': 39061.20968, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
39077.004573;2;0;0;"job_completion_received";"Job has completed its execution (<Job w0!68; number:68 queue:68 sub:38764 reqtime:5943 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 12520182917099.72, 'com': 2681644.143261, 'ret': 0} start:38764.0 fin:39077.004573 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>)";"{'job': {'id': 'w0!68', 'workload_name': 'w0', 'number': '68', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 68, 'submit_time': 38764, 'requested_time': 5943, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 12520182917099.72, 'com': 2681644.143261, 'ret': 0}, 'profile_name': 'profile_68', 'start_time': 38764.0, 'finish_time': 39077.004573, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
39077.004573;2;0;0;"job_completed";"Remove completed job and free resources: <Job w0!68; number:68 queue:68 sub:38764 reqtime:5943 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 12520182917099.72, 'com': 2681644.143261, 'ret': 0} start:38764.0 fin:39077.004573 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>";"{'job': {'id': 'w0!68', 'workload_name': 'w0', 'number': '68', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 68, 'submit_time': 38764, 'requested_time': 5943, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 12520182917099.72, 'com': 2681644.143261, 'ret': 0}, 'profile_name': 'profile_68', 'start_time': 38764.0, 'finish_time': 39077.004573, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
39128.0;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!70; number:70 queue:70 sub:39128 reqtime:117891 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 347010309577449.2, 'com': 8897725.612148, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=1)";"{'job': {'id': 'w0!70', 'workload_name': 'w0', 'number': '70', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 70, 'submit_time': 39128, 'requested_time': 117891, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 347010309577449.2, 'com': 8897725.612148, 'ret': 0}, 'profile_name': 'profile_70', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 1}"
39128.0;2;0;0;"job_scheduled";"Scheduled job (<Job w0!70; number:70 queue:70 sub:39128 reqtime:117891 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 347010309577449.2, 'com': 8897725.612148, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>)";"{'job': {'id': 'w0!70', 'workload_name': 'w0', 'number': '70', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 70, 'submit_time': 39128, 'requested_time': 117891, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 347010309577449.2, 'com': 8897725.612148, 'ret': 0}, 'profile_name': 'profile_70', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}}"
39128.0;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!71; number:71 queue:71 sub:39128 reqtime:95051 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 137288552934160.72, 'com': 3347188.207705, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=1)";"{'job': {'id': 'w0!71', 'workload_name': 'w0', 'number': '71', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 71, 'submit_time': 39128, 'requested_time': 95051, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 137288552934160.72, 'com': 3347188.207705, 'ret': 0}, 'profile_name': 'profile_71', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 1}"
39128.0;2;0;0;"job_scheduled";"Scheduled job (<Job w0!71; number:71 queue:71 sub:39128 reqtime:95051 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 137288552934160.72, 'com': 3347188.207705, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>)";"{'job': {'id': 'w0!71', 'workload_name': 'w0', 'number': '71', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 71, 'submit_time': 39128, 'requested_time': 95051, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 137288552934160.72, 'com': 3347188.207705, 'ret': 0}, 'profile_name': 'profile_71', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}}"
39128.0;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!72; number:72 queue:72 sub:39128 reqtime:129752 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 310346222190419.94, 'com': 5995462.319542, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=1)";"{'job': {'id': 'w0!72', 'workload_name': 'w0', 'number': '72', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 72, 'submit_time': 39128, 'requested_time': 129752, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 310346222190419.94, 'com': 5995462.319542, 'ret': 0}, 'profile_name': 'profile_72', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 1}"
39128.0;2;0;0;"job_scheduled";"Scheduled job (<Job w0!72; number:72 queue:72 sub:39128 reqtime:129752 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 310346222190419.94, 'com': 5995462.319542, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>)";"{'job': {'id': 'w0!72', 'workload_name': 'w0', 'number': '72', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 72, 'submit_time': 39128, 'requested_time': 129752, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 310346222190419.94, 'com': 5995462.319542, 'ret': 0}, 'profile_name': 'profile_72', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}}"
39128.0;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!73; number:73 queue:73 sub:39128 reqtime:26717 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 61252278197269.14, 'com': 5451475.440434, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=1)";"{'job': {'id': 'w0!73', 'workload_name': 'w0', 'number': '73', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 73, 'submit_time': 39128, 'requested_time': 26717, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 61252278197269.14, 'com': 5451475.440434, 'ret': 0}, 'profile_name': 'profile_73', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 1}"
